accession,ncbi_taxid
RS_GCF_013697085.1,321266
RS_GCF_009834345.1,2497861
RS_GCF_003254665.1,2185141
RS_GCF_011742165.1,2717286
RS_GCF_002930105.1,1848458
RS_GCF_008297955.1,2606936
RS_GCF_003336675.1,2282305
RS_GCF_003339685.1,2282311
RS_GCF_001545155.1,507626
GB_GCA_007129225.1,1486246
RS_GCF_002879615.1,2033802
RS_GCF_010993975.1,1562110
RS_GCF_900100195.1,376427
RS_GCF_010994375.1,2484813
GB_GCA_004551485.1,2599398
RS_GCF_003612795.1,272774
RS_GCF_007989605.1,44935
RS_GCF_002082565.1,1971364
RS_GCF_000219565.1,999141
RS_GCF_003989795.1,447567
RS_GCF_000712975.1,232346
GB_GCA_007116835.1,1486246
RS_GCF_013415115.1,1176240
RS_GCF_002374315.1,2042704
RS_GCF_003031405.1,1949203
RS_GCF_002966495.1,1118153
RS_GCF_002087295.1,1144478
RS_GCF_900110265.1,77097
GB_GCA_014640815.1,1602943
RS_GCF_009846525.1,29570
RS_GCF_012427705.1,2609667
RS_GCF_000275725.1,1177117
GB_GCA_014651775.1,502829
RS_GCF_003990185.1,1258546
RS_GCF_003990195.1,2498859
RS_GCF_003002925.1,1176243
RS_GCF_000377665.1,574966
RS_GCF_900163645.1,1434831
RS_GCF_000236035.1,1072583
RS_GCF_001882345.1,1123773
RS_GCF_001651035.1,1805819
RS_GCF_002257525.1,229007
RS_GCF_000336575.1,1204738
RS_GCF_013416325.1,2729618
RS_GCF_004364445.1,232346
RS_GCF_002211105.1,213554
GB_GCA_004295565.1,390919
RS_GCF_000235725.1,550984
RS_GCF_013415125.1,186761
RS_GCF_013371085.1,2729617
GB_GCA_002366715.1,1946584
GB_GCA_007182875.1,115553
GB_GCA_007692655.1,1486246
GB_GCA_011050415.1,1486246
GB_GCA_001507855.1,1635257
RS_GCF_002332255.1,2024405
